CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
China,,,,,,,,,,,,,,,,,,,,,2.853802891,2.683728611,2.678089882,2.547464173,2.407504389,2.298382397,2.222499336,2.126955674,2.04920455,2.000928294,1.969457609,1.894264099,1.7302484,1.620623417,1.522284251,1.490279879,1.413069228,1.295232572,1.151242655,1.067904057,1.011019077,0.956122011,0.928306613,1.03373441,1.097213555,1.079371025,1.06102914,0.983753041,0.929317318,,,
Colombia,,,,,,,,,,,,,,,,,,,,,0.311592546,0.305401918,0.312438873,0.33124557,0.31745059,0.304159612,0.291672669,0.284618304,0.284122527,0.278863738,0.283245332,0.275893809,0.285338073,0.287606577,0.286814722,0.24051086,0.239275706,0.248089615,0.250753639,0.224208109,0.220080942,0.210282179,0.20291364,0.20143681,0.179087608,0.188230034,0.183520196,0.176909336,0.182325197,,,
Comoros,,,,,,,,,,,,,,,,,,,,,0.12023038,0.115756483,0.108810435,0.103805922,0.099707673,0.1124823,0.103059148,0.115883718,0.119904008,0.123843053,0.145571004,0.153873395,0.141778389,0.137640987,0.145308452,0.146923764,0.12178339,0.117065261,0.12842525,0.138600922,0.142875204,0.144283665,0.144307566,0.15208856,0.158100808,0.16251934,0.176577911,0.175715165,0.179291902,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,0.166431627,0.175379828,0.143343718,0.18520338,0.172763006,0.157960025,0.139907023,0.15549455,0.161393099,0.17867538,0.177188966,0.178491689,0.192226032,0.209317977,0.158324044,0.188156503,0.208195292,0.198676505,0.174877199,0.162057149,0.127498435,0.123852037,0.118018396,0.12268689,0.154556711,0.150775143,0.149032938,0.145483249,0.15116502,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,0.076708505,0.075793175,0.174460078,0.14011269,0.130555863,0.148265957,0.1327333,0.16435103,0.182972031,0.179207584,0.139874383,0.145449526,0.176280043,0.174740171,0.257380991,0.180332245,0.189499059,0.260300905,0.083278314,0.090341048,0.107199033,0.084858499,0.066627437,0.101374092,0.171736368,0.134446737,0.115393248,0.127543403,0.14698116,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,0.164883572,0.154138634,0.154066446,0.151094458,0.135331159,0.151598263,0.164873732,0.163163042,0.167609966,0.161318983,0.15429916,0.169840572,0.176802674,0.171604008,0.218421812,0.194091864,0.187746876,0.186753031,0.183686019,0.176285566,0.171672316,0.178717415,0.190701978,0.187743194,0.18834427,0.178156278,0.175457067,0.177466693,0.17057888,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,0.279402043,0.193754849,0.264489845,0.218064834,0.250266072,0.32462249,0.256000782,0.330792753,0.389992758,0.352437651,0.242417398,0.235574394,0.193745987,0.247383235,0.218669692,0.277249854,0.302345825,0.278980953,0.225222381,0.201004824,0.226193456,0.257392449,0.246256633,0.187453137,0.258477497,0.260645504,0.236189964,0.207639827,0.222958423,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368836157,0.400662642,0.388751959,0.380069588,0.377279101,0.368973074,0.382861611,0.388286164,0.358779348,0.364991648,0.367543803,0.375352664,0.352890857,0.339269165,0.324287815,0.324542392,0.303788653,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,0.559926942,0.51871458,0.498084449,0.471192858,0.445041927,0.41356937,0.45583658,0.49488066,0.456305504,0.444484612,0.443553687,0.448624829,0.456381733,0.486593689,0.471380155,0.436991268,0.445571517,0.447985558,0.463595566,0.449733432,0.434186302,0.417160843,0.419121108,0.453681309,0.412012847,0.40562919,0.404409886,0.404777042,0.407738542,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938069958,0.886816152,0.83945457,0.803407724,0.790721528,0.781713549,0.760048716,0.668781899,0.718553797,0.699964929,0.663669892,0.652242045,0.625930314,0.579277709,0.551563095,0.524604775,0.483286228,,,
Denmark,,,,,,,,,,,,,,,,,,,,,0.565368734,0.488446893,0.488338939,0.444563221,0.432204153,0.490793036,0.458265783,0.453336225,0.428600221,0.378956546,0.385493443,0.463655707,0.403569479,0.424739188,0.429579914,0.37664228,0.455056765,0.366252769,0.352241212,0.311977832,0.279582709,0.288096666,0.303509238,0.325933341,0.287458488,0.260538773,0.292578971,0.263021012,0.245517821,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259772306,0.271380943,0.281390434,0.312008896,0.31496116,0.326344924,0.346170096,0.351702338,0.327929624,0.346725932,0.313898902,0.293618162,0.297025809,0.293096844,0.317899659,0.317993328,0.312837796,0.297657101,0.302492861,,,
Dominica,,,,,,,,,,,,,,,,,,,,,0.121653532,0.108537456,0.114651051,0.111645875,0.115526566,0.1235665,0.115398876,0.107329131,0.11407739,0.121979162,0.115889295,0.115189039,0.112878016,0.117950209,0.129966472,0.147573336,0.130704642,0.141663161,0.128811579,0.134029643,0.17451912,0.19356914,0.178055301,0.183243931,0.171642535,0.178126162,0.164727306,0.213372325,0.170876513,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,0.295954251,0.2710758,0.273996056,0.326853438,0.303661827,0.303980856,0.329365719,0.356619135,0.351980055,0.355371299,0.347020655,0.36405898,0.364227704,0.361924182,0.375615173,0.452355469,0.460026455,0.442757272,0.423815973,0.401121559,0.404729979,0.39985646,0.401610498,0.403042637,0.369693067,0.334319901,0.318172024,0.301066149,0.289420868,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,0.296443219,0.356105127,0.413848106,0.430489601,0.450656155,0.400267095,0.302375436,0.305741732,0.322385841,0.374633667,0.303061547,0.282137225,0.375976537,0.406550824,0.218929708,0.359905988,0.368077926,0.270612593,0.3223338,0.329193048,0.315249654,0.335069839,0.335676427,0.349173851,0.346679095,0.335189759,0.325912775,0.330707846,0.267715647,,,
Egypt,,,,,,,,,,,,,,,,,,,,,0.41868678,0.454719322,0.458728212,0.431411706,0.454699398,0.427200605,0.485359295,0.474991503,0.449400554,0.414611522,0.412691875,0.423191274,0.418351522,0.46605309,0.410501785,0.440160553,0.44686973,0.449231787,0.487835871,0.471612294,0.504458517,0.432505249,0.428356198,0.518509882,0.503460763,0.524103318,0.526664097,0.522535799,0.514808813,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,0.10484322,0.100583402,0.103488148,0.109747619,0.091397435,0.112406018,0.112400528,0.134884968,0.133588443,0.138597348,0.133707469,0.159285906,0.157189482,0.166128816,0.17835484,0.19982889,0.18215017,0.205619905,0.199955073,0.189508383,0.186947024,0.190378204,0.188892087,0.200340578,0.188445084,0.184406696,0.180942069,0.185382033,0.162137952,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.094314277,0.118023612,0.138693685,0.145114131,0.162118665,0.16190491,0.272944255,0.264504765,0.118092339,0.04012328,0.126413913,0.087011241,0.127069726,0.059933192,0.118824836,0.100649276,0.42314731,0.569922883,0.604352839,0.340531726,0.312471592,0.311225788,0.258647152,0.234588238,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083526928,0.131553331,0.141215982,0.19836559,0.217920922,0.228718458,0.258585768,0.246086051,0.22918299,0.282522003,0.295342287,0.286582736,0.211826797,0.215672639,0.170993188,,,
